央视频道,#genre#
Fashion 4K「时尚」,http://fash2043.cloudycdn.services//slive/_definst_/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/chunklist_b10668000_t64NGs=.m3u8
Fashion 4K「时尚」,https://fash2043.cloudycdn.services//slive/_definst_/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台2,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台北美版(TVB J1),https://cdn5.1678520.xyz/live/live2.1.php?id=j1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
龙华日韩,http://cdn3.1678520.xyz/live/?id=lhrh
HOY TV,http://cdn10.1678520.xyz/live/?id=hoy
VIUTV,http://cdn12.1678520.xyz/live/?id=viu
Viu剧集台,http://cdn12.1678520.xyz/live/?id=viu2
Now星影台,http://cdn12.1678520.xyz/live/?id=xyt
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx

电视剧,#genre#
神探狄仁杰,http://maomao.kandiantv.cn/douyu1.php?id=3395113
新三国,http://maomao.kandiantv.cn/douyu1.php?id=5908256
欢乐颂,http://epg.112114.xyz/douyu/3756989
使徒行者,http://diyp.zxxoo.work/huya/23734256
庆余年,http://diyp.zxxoo.work/douyu/5062195
大秦帝国,http://epg.112114.xyz/douyu/1584198
大江大河,http://live.iill.top/yy.php?id=1382736806
大江大河2,http://live.iill.top/yy.php?id=1382736797


电影,#genre#
CHC家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
CHC动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8
CHC高清电影,http://218.76.32.193:9901/tsfile/live/1019_1.m3u8
周星驰,http://diyp.zxxoo.work/douyu/122402
电影1,http://diyp.zxxoo.work/douyu/3637778
电影2,http://diyp.zxxoo.work/douyu/85894
电影3,http://diyp.zxxoo.work/douyu/20415
电影4,http://diyp.zxxoo.work/douyu/276200
电影5,http://diyp.zxxoo.work/douyu/4332
电影6,http://diyp.zxxoo.work/douyu/323876
电影7,http://diyp.zxxoo.work/douyu/263824
电影8,http://diyp.zxxoo.work/douyu/747764
电影9,http://diyp.zxxoo.work/douyu/6566671
